timeframe,date,open,close,high,low,volume
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:40:00,29534.02,29533.37,29534.02,29533.36,25.6054
1min,2023-08-10 10:41:00,29533.36,29533.85,29533.86,29532.38,7.63553
1min,2023-08-10 10:41:00,29533.36,29533.85,29533.86,29532.38,7.63553
1min,2023-08-10 10:41:00,29533.36,29533.85,29533.86,29532.38,7.63553
1min,2023-08-10 10:41:00,29533.36,29533.85,29533.86,29532.38,7.63553
1min,2023-08-10 10:41:00,29533.36,29533.85,29533.86,29532.38,7.63553
1min,2023-08-10 10:41:00,29533.36,29533.85,29533.86,29532.38,7.63553
1min,2023-08-10 10:41:00,29533.36,29533.85,29533.86,29532.38,7.63553
1min,2023-08-10 10:41:00,29533.36,29533.85,29533.86,29532.38,7.63553
1min,2023-08-10 10:41:00,29533.36,29533.85,29533.86,29532.38,7.63553
1min,2023-08-10 10:41:00,29533.36,29533.85,29533.86,29532.38,7.63553
1min,2023-08-10 10:41:00,29533.36,29533.85,29533.86,29532.38,7.63553
1min,2023-08-10 10:41:00,29533.36,29533.85,29533.86,29532.38,7.63553
1min,2023-08-10 10:41:00,29533.36,29533.85,29533.86,29532.38,7.63553
1min,2023-08-10 10:41:00,29533.36,29533.85,29533.86,29532.38,7.63553
1min,2023-08-10 10:41:00,29533.36,29533.85,29533.86,29532.38,7.63553
1min,2023-08-10 10:41:00,29533.36,29533.85,29533.86,29532.38,7.63553
1min,2023-08-10 10:41:00,29533.36,29533.85,29533.86,29532.38,7.63553
1min,2023-08-10 10:41:00,29533.36,29533.85,29533.86,29532.38,7.63553
1min,2023-08-10 10:41:00,29533.36,29533.85,29533.86,29532.38,7.63553
